Zip Code,"Income less than $10,000","Income $10,000 to $24,999","Income $25,000 to $49,999","Income $50,000 to $99,999","Income $100,000 to $199,999","Income $200,000 or more"
2203,0,0,60,44,0,0
2116,70616,206531,45555,24619,2882,33
2124,35481,94747,111266,60056,16168,165
2132,55986,148798,54297,30936,5878,48
2199,105089,163750,2314,1349,30,0
2110,116923,357628,4559,2719,311,0
2113,64508,145257,13790,7308,472,9
2122,36588,91621,47346,24724,6375,136
2125,38738,103350,67820,35166,8894,165
2128,32230,87974,90753,46151,13189,148
2108,75847,196073,8883,4889,604,9
2120,20149,85101,29138,14785,2776,19
2135,45061,115949,87473,45590,6606,100
2467,22685,200248,43719,24165,5232,43
2115,9288,126734,56291,28862,4849,70
2109,75946,190469,8129,4392,428,0
2118,57945,170833,53819,27858,4872,10
2121,27206,84797,58682,30360,9985,100
2126,32255,93010,58031,32003,8439,99
2127,68970,152346,74006,38380,5660,0
2129,79350,188968,39389,21287,4193,26
2163,16589,89614,5219,2630,235,0
2114,74223,175292,25241,13622,1100,0
2119,29420,86371,54104,28058,7775,106
2130,53398,137218,79069,42345,7126,6
2131,41916,116648,66785,35962,8406,109
2134,39695,111352,38740,19872,2323,52
2136,36517,101182,68885,38326,9686,123
2210,102908,245152,6989,3791,234,0
2215,7399,139308,50758,25723,3512,27
2111,44358,164003,15580,8203,1615,16
