Name,Zip Code,Cuisine Category
Carmelina's,2113,Italian
Barcelona Wine Bar South End,2116,Spanish
The Salty Pig,2116,Italian
Yvonne's,2108,American
Bostonia Public House,2109,American
Toro,2118,Spanish
Myers & Chang,2118,Fusion
Citrus & Salt,2116,Mexican
Earls Kitchen + Bar,2199,American
O Ya,2111,Japanese
Tora Japanese Restaurant,2111,Japanese
SRV Boston,2118,Italian
Lolita Cocina & Tequila Bar,2116,Mexican
Ma Maison,2114,French
Buttermilk & Bourbon,2116,American
Mistral,2116,French
Contessa,2116,Italian
Boston Sail Loft,2110,American
Coppa Enoteca,2118,Italian
Krasi,2115,Greek
Q Restaurant,2111,Japanese
Boston Burger,2215,American
Fuji at Ink Block,2118,Japanese
Mariel,2109,Other Latin American
Row 34,2210,American
MIDA,2118,Italian
Moonshine 152,2127,Fusion
Shōjō-Boston,2111,Fusion
Fox And The Knife,2127,Italian
RUKA Restobar,2111,Other Latin American
Giacomo's Ristorante - Boston,2113,Italian
Deuxave,2115,French
Committee,2210,Greek
Bistro du Midi,2116,French
Douzo,2116,Japanese
The Beehive,2116,American
The Capital Burger,2116,American
Ward 8,2113,American
La Famiglia Giorgio's,2113,Italian
Monument Restaurant & Tavern,2129,American
Wink & Nod,2116,American
Bar Mezzana,2118,Italian
Publico Street Bistro & Garden,2127,American
City Tap House,2210,American
Black Lamb,2118,American
Sorellina,2116,Italian
Laughing Monk Cafe,2115,Thai
Ocean Prime,2210,American
Oishii Boston,2118,Japanese
No. 9 Park,2108,Other European
Piattini,2116,Italian
Menton,2210,Other European
Chickadee,2210,Mediterranean
The Elephant Walk,2118,French
The Daily Catch,2113,Italian
Isabella's,2113,Italian
Basile - Fine Italian Kitchen,2116,Italian
Lincoln Tavern and Restaurant,2127,American
Picco Pizza & Ice Cream,2116,Italian
Parish Cafe & Bar,2116,American
Aqua Pazza,2109,Italian
Fogo de Chão Brazilian Steakhouse,2116,Other Latin American
Bricco,2113,Italian
Davio's,2116,Italian
Jm Curley,2111,American
Mare,2113,Italian
Trattoria Il Panino,2113,Italian
Milkweed,2120,American
Cafe Polonia,2127,Other European
The Tip Tap Room,2114,American
Scampo,2114,Italian
75 Chestnut,2108,American
KAVA neo-taverna,2118,Greek
Woods Hill Pier 4,2210,American
bartaco Seaport,2210,Mexican
The Smoke Shop BBQ - Seaport,2210,American
Parla,2113,Italian
Regina Pizza,2113,Italian
Precinct Kitchen + Bar,2116,American
ilona,2118,Mediterranean
Nautilus Pier 4,2210,Fusion
State Street Provisions,2109,American
La Voile,2116,French
Kala Thai Cookery,2109,Thai
Democracy Brewing,2111,American
Toscano Restaurant,2114,Italian
SOJUba,2215,Korean
Worden Hall,2127,American
Nico Ristorante,2113,Italian
Benevento's,2113,Italian
Casarecce,2113,Italian
Tony & Elaine’s,2114,Italian
4th Wall Restaurant & Bar,2116,American
Limoncello Ristorante,2113,Italian
Loco Taqueria & Oyster Bar,2127,Mexican
Al Dente Restaurant,2113,Italian
Rino's Place,2128,Italian
Frenchie Wine Bistro,2118,French
Maggiano's Little Italy,2116,Italian
Asta,2115,American
Grotto,2114,Italian
Santouka Back Bay,2115,Japanese
Bar à vin 1855,2116,French
Zuma,2199,Japanese
Terramia Ristorante,2113,Italian
REDWHITE BONELESS RAMEN ,2115,Japanese
Tresca,2113,Italian
Saus,2108,American
Koy,2109,Fusion
Five Horses Tavern,2118,American
Panza,2113,Italian
Atlántico,2118,Spanish
Ristorante Euno,2113,Italian
Lolita Cocina & Tequila Bar Fort Point,2210,Mexican
Porters Bar & Grill,2114,American
Eataly Boston,2199,Italian
Prezza,2113,Italian
Gaga Seafood Restaurant,2111,Chinese
Mamma Maria,2113,Italian
Estragon,2118,Spanish
anoush'ella,2118,Mediterranean
Futago Udon,2215,Japanese
The Bebop,2215,Irish
Audubon Boston,2215,American
Emmet's Irish Pub & Restaurant,2108,Irish
Trattoria Il Panino,2113,Italian
The Dubliner,2108,Irish
Bogie's Place,2111,American
GRECO,2116,Greek
Delux Café,2116,American
Cheers,2108,American
Shabu-Zen,2111,Japanese
Cósmica,2116,Mexican
Avana Sushi,2111,Japanese
Silvertone Bar & Grill,2108,American
Porto,2199,Mediterranean
Pazza on Porter,2128,Italian
North Street Grille,2113,American
Sonsie,2115,American
TreMonte Restaurant & Bar,2113,Italian
Strega Italiano Back Bay,2116,Italian
Orinoco,2118,Other Latin American
Forcella,2113,Italian
Antico Forno,2113,Italian
Aquitaine,2118,French
JiangNan Boston,2111,Chinese
Burro Bar South End,2118,Mexican
Spring Shabu-Shabu,2135,Japanese
Purple Shell,2127,Fusion
Kaze Shabu Shabu,2111,Japanese
Caffé Vittoria,2113,Italian
BenCotto - Boston,2113,Italian
