Name,Cuisine Types,Zip Code
Carmelina's,Italian,02113
Barcelona Wine Bar South End,"Spanish, Wine Bars, Tapas/Small Plates",02116
Neptune Oyster,"Seafood, Salad, Sandwiches",02113
Bootleg Special,"Seafood, Cocktail Bars, Tapas/Small Plates",02116
Saltie Girl,"Seafood, Cocktail Bars",02116
The Salty Pig,"New American, Italian, Pizza",02116
Ostra,Seafood,02116
Yvonne's,"New American, Lounges",02108
Bostonia Public House,"New American, Music Venues, Cocktail Bars",02109
Toro,"Tapas Bars, Spanish, Cocktail Bars",02118
Myers & Chang,"Asian Fusion, Taiwanese, Cocktail Bars",02118
Citrus & Salt,"Cocktail Bars, Mexican",02116
Earls Kitchen + Bar,"New American, Cocktail Bars",02199
Grill 23 & Bar,"Seafood, Steakhouses, Wine Bars",02116
The Friendly Toast,"Bars, Breakfast & Brunch, Diners",02116
O Ya,Japanese,02111
Tora Japanese Restaurant,"Japanese, Sushi Bars, Poke",02111
SRV Boston,"Italian, Wine Bars",02118
Lolita Cocina & Tequila Bar,"Mexican, Lounges, Cocktail Bars",02116
Ma Maison,"French, Cocktail Bars, Wine Bars",02114
Buttermilk & Bourbon,"Southern, Bars, Tapas Bars",02116
Atlantic Fish,"Seafood, Live/Raw Food, Cocktail Bars",02116
Mistral,"French, Mediterranean",02116
Contessa,"Italian, Breakfast & Brunch, Cocktail Bars",02116
Boston Sail Loft,"Bars, American, Seafood",02110
Coppa Enoteca,"Italian, Tapas/Small Plates, Pasta Shops",02118
Krasi,"Mediterranean, Greek, Wine Bars",02115
Q Restaurant,"Chinese, Sushi Bars, Hot Pot",02111
Boston Burger,"Burgers, American, Sandwiches",02215
Fuji at Ink Block,"Japanese, Sushi Bars, Cocktail Bars",02118
Abe & Louie's,"Steakhouses, Seafood, Cocktail Bars",02116
Mariel,Cuban,02109
Row 34,"New American, Seafood, Bars",02210
Mooncusser,Seafood,02116
MIDA,"Italian, Wine Bars, Noodles",02118
Moonshine 152,"New American, Asian Fusion",02127
Shōjō-Boston,"Asian Fusion, Cocktail Bars, Japanese",02111
Fox And The Knife,"Wine Bars, Italian",02127
RUKA Restobar,"Sushi Bars, Latin American, Peruvian",02111
B&G Oysters,"Seafood, Wine Bars",02116
Giacomo's Ristorante - Boston,"Italian, Wine Bars, Seafood",02113
Mooo Beacon Hill,"Steakhouses, Wine Bars, Breakfast & Brunch",02108
Deuxave,"New American, Bars, French",02115
Committee,"Mediterranean, Greek, Cocktail Bars",02210
Fin Point Oyster Bar & Grill,"Seafood, Breakfast & Brunch, Cocktail Bars",02110
Bistro du Midi,"French, Bars, Desserts",02116
Douzo,"Sushi Bars, Japanese",02116
The Beehive,"American, Breakfast & Brunch, Bars",02116
The Capital Burger,"Burgers, New American, Cocktail Bars",02116
The Capital Grille,"Steakhouses, Seafood, Wine Bars",02115
Ward 8,"Cocktail Bars, American",02113
La Famiglia Giorgio's,"Italian, Pizza, Pasta Shops",02113
Boston Chops South End,"Bars, Steakhouses",02118
Luke's Lobster Back Bay,"Seafood, Soup, Sandwiches",02116
Monument Restaurant & Tavern,"Bars, American, Breakfast & Brunch",02129
Wink & Nod,"Cocktail Bars, New American, Tapas/Small Plates",02116
Bar Mezzana,"Italian, Cocktail Bars",02118
Publico Street Bistro & Garden,"New American, Bars, Breakfast & Brunch",02127
The Banks Fish House,"Seafood, Cocktail Bars",02116
City Tap House,"Breakfast & Brunch, New American, Beer Bar",02210
Black Lamb,"New American, Seafood, Cocktail Bars",02118
Sorellina,"Italian, Bars, Mediterranean",02116
Laughing Monk Cafe,"Sushi Bars, Thai",02115
Ocean Prime,"Seafood, Steakhouses, New American",02210
Oishii Boston,"Sushi Bars, Japanese",02118
No. 9 Park,"French, Italian, Bars",02108
Piattini,"Italian, Wine Bars, Beer Bar",02116
Menton,"French, Italian, Wine Bars",02210
Chickadee,"New American, Mediterranean, Cocktail Bars",02210
The Elephant Walk,"Cambodian, French, Cocktail Bars",02118
The Daily Catch,"Italian, Seafood",02113
Isabella's,Italian,02113
Basile - Fine Italian Kitchen,Italian,02116
Lincoln Tavern and Restaurant,"New American, Bars",02127
Picco Pizza & Ice Cream,"Pizza, Italian, Bars",02116
Parish Cafe & Bar,"Sandwiches, American, Cocktail Bars",02116
Yankee Lobster,"Seafood Markets, Seafood, Sandwiches",02210
Aqua Pazza,"Italian, Seafood",02109
Fogo de Chão Brazilian Steakhouse,"Brazilian, Steakhouses",02116
Bricco,"Italian, Wine Bars",02113
Select Oyster Bar,"Seafood, Bars",02115
Davio's,"Italian, Steakhouses",02116
Jm Curley,"New American, Lounges",02111
Mare,"Seafood, Italian",02113
Trattoria Il Panino,"Italian, Wine Bars",02113
French Quarter,"Bars, Cajun/Creole",02111
Milkweed,"New American, Breakfast & Brunch, Cocktail Bars",02120
Cafe Polonia,"Polish, Wine Bars, Modern European",02127
The Tip Tap Room,"New American, Bars",02114
Scampo,Italian,02114
75 Chestnut,"New American, Diners, Steakhouses",02108
Mike & Patty's - Boston,"Sandwiches, Breakfast & Brunch",02116
Pauli's,"Sandwiches, Caterers, Seafood",02113
KAVA neo-taverna,"Greek, Bars",02118
Woods Hill Pier 4,New American,02210
bartaco Seaport,Tacos,02210
The Smoke Shop BBQ - Seaport,"Southern, Barbeque, Whiskey Bars",02210
Parla,"Italian, Tapas/Small Plates, Cocktail Bars",02113
Regina Pizza,"Pizza, Italian",02113
Oleana Restaurant,Mediterranean,02139
Precinct Kitchen + Bar,"Bars, American, Desserts",02116
ilona,"Bars, Mediterranean, Modern European",02118
Nautilus Pier 4,"Seafood, Asian Fusion, Tapas/Small Plates",02210
The Oceanaire Seafood Room,Seafood,02108
Stillwater,"Cocktail Bars, Comfort Food",02111
PURO ceviche bar,"Wine Bars, Cocktail Bars, Seafood",02116
State Street Provisions,"New American, Breakfast & Brunch, Pizza",02109
La Voile,"French, Wine Bars",02116
Kala Thai Cookery,Thai,02109
Sumiao Hunan Kitchen,"Chinese, Asian Fusion, Noodles",02142
The Brewer's Fork,"Pizza, Gastropubs, Wine Bars",02129
Legal Sea Foods - Harborside,"Seafood, Bars, Sandwiches",02210
Democracy Brewing,"American, Breweries, Venues & Event Spaces",02111
Toscano Restaurant,Italian,02114
SOJUba,"Korean, Lounges",02215
Worden Hall,"New American, Breakfast & Brunch, Cocktail Bars",02127
Ruth's Chris Steak House,"Steakhouses, Seafood, Wine Bars",02108
Nico Ristorante,"Italian, Wine Bars",02113
Benevento's,"Italian, Pizza",02113
Casarecce,"Italian, Seafood, Wine Bars",02113
Tony & Elaine’s,Italian,02114
James Hook,"Seafood, Seafood Markets",02110
4th Wall Restaurant & Bar,"Pubs, New American",02116
Limoncello Ristorante,"Italian, Wine Bars",02113
Loco Taqueria & Oyster Bar,"Cocktail Bars, Seafood, Tacos",02127
Al Dente Restaurant,"Italian, Salad, Seafood",02113
Rino's Place,Italian,02128
Frenchie Wine Bistro,"Wine Bars, French",02118
Maggiano's Little Italy,"Italian, Bars, Venues & Event Spaces",02116
Asta,"New American, Wine Bars",02115
Legal Sea Foods - Downtown Crossing,"Seafood, Bars, Sandwiches",02111
Eventide - Fenway,Seafood,02215
Grotto,Italian,02114
Santouka Back Bay,"Ramen, Soup, Noodles",02115
Bar à vin 1855,"Wine Bars, French, Breakfast & Brunch",02116
Cafe Bonjour,"Breakfast & Brunch, Coffee & Tea, Sandwiches",02111
Zuma,"Japanese, Sushi Bars, Cocktail Bars",02199
Terramia Ristorante,"Italian, Wine Bars",02113
REDWHITE BONELESS RAMEN ,"Sushi Bars, Ramen, Soup",02115
Tresca,Italian,02113
Saus,"Beer Bar, American",02108
Koy,"Korean, Asian Fusion, Sushi Bars",02109
Bar 'Cino,"Italian, Cocktail Bars, Pizza",02446
Sarma,"Middle Eastern, Tapas/Small Plates, Mediterranean",02145
The Daily Catch,Seafood,02110
Five Horses Tavern,"Bars, American, Breakfast & Brunch",02118
Panza,"Italian, Wine Bars, Salad",02113
Atlántico,"Seafood, Tapas Bars, Spanish",02118
Ristorante Euno,"Italian, Mediterranean, Pasta Shops",02113
Lolita Cocina & Tequila Bar Fort Point,Mexican,02210
Porters Bar & Grill,"American, Pubs, Burgers",02114
Modern Pastry Shop,"Bakeries, Desserts, Breakfast & Brunch",02113
Eataly Boston,"Pizza, Grocery, Italian",02199
The Smoke Shop BBQ - Kendall Square,"Southern, Barbeque, Whiskey Bars",02139
Prezza,"Italian, Desserts, Salad",02113
Gaga Seafood Restaurant,"Seafood, Chinese",02111
Mamma Maria,Italian,02113
Estragon,"Tapas Bars, Spanish",02118
anoush'ella,"Lebanese, Mediterranean, Armenian",02118
Futago Udon,"Japanese, Noodles, Desserts",02215
